Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
MAN,19-372,49 900 PLN,Ciechanowiec,Podlaskie,1991,650 000 km,Diesel,1 000 cm3
MAN,TGX 26.420 6X2 BDF KLIMA POSTOJOWA,122 877 PLN,Turek,Wielkopolskie,2017,800 000 km,Diesel,12 419 cm3
Renault,Premium 370,73 677 PLN,Koszalin,Zachodniopomorskie,2010,273 163 km,Diesel,10 837 cm3
Otokar Navigo 34 x3,,183 270 PLN,Piotrowiec,Świętokrzyskie,2011,400 000 km,Diesel,4 461 cm3
Scania,G420 highline BDF 6X2,82 410 PLN,Jabłonowo,Mazowieckie,2011,1 727 600 km,Diesel,11 705 cm3
Mercedes-Benz,Atego,349 000 PLN,Toruń,Kujawsko-pomorskie,2001,62 000 km,2001,Diesel
MAN,TGX 18.440 4X2,154 978 PLN,Bytom,Śląskie,2015,767 700 km,2015,Diesel
Renault,T,137 760 PLN,Warszawa,Mazowieckie,2015,779 000 km,Diesel,10 837 cm3
Scania,R410,149 999 PLN,Gorzów Wielkopolski,Lubuskie,2014,1 098 903 km,Diesel,12 742 cm3
Volvo,VOLVO FL 250 EURO6 Rama do zabudowy,146 370 PLN,Limanowa,Małopolskie,2014,445 531 km,2014,Diesel
Scania,IV,25 707 PLN,Gdańsk,Pomorskie,2003,1 240 000 km,Diesel,11 705 cm3
Mercedes-Benz,Atego,66 420 PLN,Warszawa,Mazowieckie,2008,557 950 km,Diesel,4 249 cm3
Volvo,FH LNG,92 250 EUR,Młochów,Mazowieckie,2019,354 633 km,LNG,12 777 cm3
MAN,TGS 41.480 8x4 betonomieszarka 12m3 + rynna hydrauliczna,172 000 PLN,Kotórz Mały,Opolskie,2008,341 848 km,Diesel,12 419 cm3
Mercedes-Benz,ACTROS 3241 8x4 betonomieszarka 9m3,50 000 EUR,Kotórz Mały,Opolskie,2013,168 651 km,Diesel,11 946 cm3
Mercedes-Benz,Actros,79 950 EUR,Słubice,Lubuskie,2019,363 083 km,Diesel,12 809 cm3
Scania,R560,161 130 PLN,Kwidzyn,Pomorskie,2012,938 315 km,Diesel,16 300 cm3
Scania,R450,149 000 PLN,Łuków,Lubelskie,2016,1 120 000 km,2016,Diesel
Scania,R450,355 470 PLN,Nekla,Wielkopolskie,2019,415 000 km,Diesel,12 800 cm3
MAN,TGA/TGX/TGS/18.440/Automat/Laweta-Specjalny-Pomoc Drogowa/,71 900 PLN,Bodzentyn,Świętokrzyskie,2007,912 658 km,Diesel,10 518 cm3
Renault,Midlum,269 000 PLN,Toruń,Kujawsko-pomorskie,2004,45 000 km,2004,Diesel
Volvo,FL240 Myjka do pojemników na śmieci EURO 4,186 960 PLN,Bodzentyn,Świętokrzyskie,2008,209 737 km,2008,Diesel
Mercedes-Benz,ATEGO 1530 Skrzynia + Plandeka 6.20m + WINDA,149 900 PLN,Radomsko,Łódzkie,2015,700 000 km,Diesel,7 698 cm3
Mercedes-Benz,SPRINTER 519 / 3.0 CDI 190KM / AUTOMAT,102 000 PLN,Piotrków Trybunalski,Łódzkie,2010,147 000 km,Diesel,3 000 cm3
Mercedes-Benz,ACTROS,101 500 PLN,Opatów,Świętokrzyskie,2014,932 770 km,Diesel,10 677 cm3
DAF,LF 55,45 510 PLN,Złotoria,Kujawsko-pomorskie,2009,843 000 km,Diesel,6 692 cm3
Volvo,FM 7,239 000 PLN,Toruń,Kujawsko-pomorskie,2001,141 000 km,2001,Diesel
Scania,G 400,58 000 PLN,Zambrów,Podlaskie,2010,1 316 549 km,Diesel,12 740 cm3
Scania,G280,94 900 PLN,Zagnańsk,Świętokrzyskie,2011,485 840 km,Diesel,9 290 cm3
DAF,XF 530,339 000 PLN,Zagnańsk,Świętokrzyskie,2021,223 260 km,Diesel,12 902 cm3
MAN,TGL POMOC DROGOWA HOLOWNIK LAWETA,39 900 PLN,Chorzów,Śląskie,2006,600 000 km,Diesel,4 500 cm3
Iveco,170E18 wywrotka hds,42 000 PLN,Tarczyn,Mazowieckie,1996,316 000 km,Diesel,5 861 cm3
Volvo,,165 000 PLN,Białystok,Podlaskie,2013,845 000 km,2013,Diesel
AGREGAT  CARRIER SUPRA 1150 UMT,,27 900 PLN,Rawa Mazowiecka,Łódzkie,2015,6 873 km,2015,Diesel
Mercedes-Benz,Atego 824,195 570 PLN,Złotniki Kujawskie,Kujawsko-pomorskie,2013,589 000 km,2013,Diesel
Iveco,STRALIS HI-WAY,28 290 EUR,Stare Oborzyska,Wielkopolskie,2016,401 000 km,Diesel,11 120 cm3
Renault,GAMA T,33 210 EUR,Stare Oborzyska,Wielkopolskie,2016,516 236 km,Diesel,10 837 cm3
Iveco,70C18HA8/P,391 140 PLN,Gniezno,Wielkopolskie,2023,10 km,Diesel,2 998 cm3
Renault,D12,104 550 PLN,Głuchołazy,Opolskie,2015,622 000 km,Diesel,5 132 cm3
Volvo,FH500 ADR,201 720 PLN,Dąbrowa,Opolskie,2015,850 414 km,Diesel,13 000 cm3
Mercedes-Benz,ACTROS 4141 8X6/4,249 000 PLN,Warszawa,Mazowieckie,2008,323 000 km,Diesel,11 946 cm3
Fiat,DUCATO/ TR ZS,23 000 PLN,Krotoszyn,Wielkopolskie,2014,707 000 km,Diesel,2 999 cm3
MAN,TGL12.210,113 160 PLN,Gorzów Wielkopolski,Lubuskie,2008,321 000 km,Diesel,4 580 cm3
DAF,cf-440-ft,120 540 PLN,Toruń,Kujawsko-pomorskie,2015,853 850 km,Diesel,10 837 cm3
Scania,R450,305 900 PLN,Raszków,Wielkopolskie,2018,840 148 km,Diesel,12 742 cm3
Mercedes-Benz,ACTROS 4141 K/W,336 000 PLN,Warszawa,Mazowieckie,2012,303 175 km,Diesel,11 946 cm3
Mercedes-Benz,Actros 1842,116 850 PLN,Augustów,Podlaskie,2014,859 341 km,Diesel,12 809 cm3
Volvo,FH 500KM XLOW 2018 Dwu Letni Niebieski Kontrakt Serwisowy w Cenie Pojazdu!!!,281 670 PLN,Młochów,Mazowieckie,2018,539 785 km,Diesel,12 777 cm3
Scania,R420 6X4+HDS PALFINGER 18500 MAŁO UŻYWANA!,245 000 PLN,Daleszyce,Świętokrzyskie,2010,360 000 km,Diesel,12 900 cm3
MAN,TGX 24.440,148 215 PLN,Rzezawa,Małopolskie,2015,796 877 km,2015,Diesel
MAN,TGX 18.440 4x2 BLS,79 950 PLN,Poznań,Wielkopolskie,2010,1 061 500 km,Diesel,10 518 cm3
Mercedes-Benz,actros 2532,307 500 PLN,Bielsko-Biała,Śląskie,2006,499 000 km,Diesel,11 946 cm3
DAF,FTXF105,85 000 PLN,Krynica-Zdrój,Małopolskie,2011,590 000 km,Diesel,12 902 cm3
Mercedes-Benz,Atego 1223L,121 770 PLN,Bielsko-Biała,Śląskie,2006,330 000 km,Diesel,6 374 cm3
Iveco,daily,79 000 PLN,Kielce,Świętokrzyskie,2017,154 800 km,Diesel,2 300 cm3
MAN,TGL 12.250,79 000 PLN,Złotniki Kujawskie,Kujawsko-pomorskie,2012,1 075 000 km,2012,Diesel
Scania,R450,236 000 PLN,Złotniki Kujawskie,Kujawsko-pomorskie,2015,841 000 km,2015,Diesel
DAF,XF 480 E.6 SUPER SC ZESTAW TANDEM 120 PRZEJAZDOWY!,342 000 PLN,Daleszyce,Świętokrzyskie,2018,480 000 km,Diesel,12 902 cm3
DAF,CF 85/460,166 050 PLN,Szpęgawsk,Pomorskie,2007,272 000 km,2007,Diesel
DAF,Daf 85 cf 410 Manual zf klima,43 900 PLN,Kościerzyna,Pomorskie,2008,999 999 km,Diesel,12 000 cm3
Mercedes-Benz,Actros 1845,92 250 PLN,Naczęsławice,Opolskie,2012,980 000 km,Diesel,12 809 cm3
Renault,Master,57 000 PLN,Wyszków,Mazowieckie,2011,742 006 km,2011,Diesel
MAN,TGL 8.250,100 860 PLN,Kamień Krajeński,Kujawsko-pomorskie,2014,803 560 km,Diesel,6 871 cm3
MAN,tgl,84 255 PLN,Turek,Wielkopolskie,2012,838 400 km,2012,Diesel
MAN,TGX,88 437 PLN,Turek,Wielkopolskie,2008,897 700 km,2008,Diesel
MAN,TGX,79 950 PLN,Kalisz,Wielkopolskie,2016,915 982 km,Diesel,12 419 cm3
Mercedes-Benz,Atego 1224,99 900 PLN,Grzędy,Mazowieckie,2013,335 000 km,2013,Diesel
DAF,XF 106 + przyczepa Wielton,232 470 PLN,Katowice,Śląskie,2015,840 000 km,Diesel,12 902 cm3
DAF,XF 460 Low Deck Mega,125 000 PLN,Radlin,Śląskie,2015,717 480 km,Diesel,12 902 cm3
Volvo,FH 500,329 900 PLN,Wsola,Mazowieckie,2019,479 000 km,Diesel,12 777 cm3
Mercedes-Benz,Sprinter 516 - 24 MIEJSC,119 000 PLN,Dorotowo,Warmińsko-mazurskie,2008,380 200 km,Diesel,2 148 cm3
