Name,Model,Price,City,Voivodeship,Production Year,Mileage,Engine Type,Engine Capacity
Mercedes-Benz,Sprinter 317 CDI,264 450 PLN,Bydgoszcz,Kujawsko-pomorskie,2022,287 km,Diesel,1 950 cm3
Peugeot,Boxer L4H2 MAXI gwarancja nawigacja klima tempomat,108 117 PLN,Suchy Las,Wielkopolskie,2018,144 980 km,Diesel,2 000 cm3
Ford,Transit L4H3 od ręki MCA 2.0 TREND,183 885 PLN,Wrocław,Dolnośląskie,2023,2 km,Diesel,1 998 cm3
Renault,Master 10 EP Międzynarodówka,204 057 PLN,Wrocław,Dolnośląskie,2023,2 km,Diesel,2 298 cm3
Nissan,CABSTAR E,12 000 PLN,Rogi,Podkarpackie,2002,301 048 km,Diesel,2 953 cm3
Opel,VIVARO 1.9 DCI 100 KM KLIMA 6 BIEGÓW BLASZAK,16 900 PLN,Końskie,Świętokrzyskie,2003,287 100 km,Diesel,1 870 cm3
Volkswagen,crafter,42 000 PLN,Zelgoszcz,Łódzkie,2012,391 000 km,Diesel,2 000 cm3
Toyota,PROACE CITY,95 900 PLN,Warszawa,Mazowieckie,2021,1 000 km,Diesel,1 499 cm3
Iveco,"Daily 35S11 podnośnik koszowy zwyżka 22,5 m / 176 900 pln netto",217 587 PLN,Rzeszów,Podkarpackie,2014,66 000 km,Diesel,2 287 cm3
Fiat,Ducato,25 000 PLN,Osłonin,Wielkopolskie,1984,140 000 km,Diesel,2 428 cm3
Volkswagen,Transporter T5,68 000 PLN,Pruszcz Gdański,Pomorskie,2007,290 000 km,Diesel,2 461 cm3
Volkswagen,Caddy,36 000 PLN,Pruszcz Gdański,Pomorskie,2011,250 000 km,Diesel,1 968 cm3
Volkswagen,Caddy,41 700 PLN,Strzelce Opolskie,Opolskie,2016,164 000 km,Diesel,1 968 cm3
Peugeot,Expert,25 000 PLN,Okuniew,Mazowieckie,2013,500 000 km,Diesel,1 997 cm3
Fiat,ducato,32 500 PLN,Poznań,Wielkopolskie,2014,230 000 km,2014,Diesel
Dacia,Dokker,29 000 PLN,Kraków,Małopolskie,2015,104 000 km,Benzyna+LPG,1 598 cm3
Iveco,"DAILY 65C15/DMC 3500 kg, kat. B prawo jazdy* WYWROTKA 3 - Stronna * ZNAKOMITY STAN!",76 500 PLN,Smyków,Świętokrzyskie,2007,180 000 km,Diesel,3 000 cm3
Fiat,Ducato,85 977 PLN,Rumia,Pomorskie,2017,197 000 km,Diesel,2 300 cm3
Volkswagen,Crafter,139 000 PLN,Opole,Opolskie,2018,55 000 km,Diesel,1 968 cm3
Ford,Transit Custom,43 000 PLN,Strękowa Góra,Podlaskie,2014,183 800 km,Diesel,2 198 cm3
Fiat,Ducato,48 954 PLN,Siedlce,Mazowieckie,2015,696 500 km,Diesel,3 000 cm3
Volkswagen,Crafter Skrzynia Plandeka tylko 112 tys.KM Klima Elektryka,67 800 PLN,Mirsk,Dolnośląskie,2015,112 300 km,Diesel,2 000 cm3
Ford,Transit Custom,62 730 PLN,Mikołów,Śląskie,2017,199 999 km,Diesel,1 995 cm3
Fiat,Ducato L3H2 zadbany,58 917 PLN,Warszawa,Mazowieckie,2016,181 000 km,Diesel,2 300 cm3
Iveco,doka kiper,73 798 PLN,Zazdrość,Mazowieckie,2011,190 000 km,Diesel,3 000 cm3
Opel,MR MOVANO,61 500 PLN,Szczecin,Zachodniopomorskie,2014,252 832 km,Diesel,2 299 cm3
Iveco,Daily,21 000 PLN,Kołaczkowo,Wielkopolskie,2008,231 800 km,Diesel,2 287 cm3
Volkswagen,Crafter,52 890 PLN,Siemiątkowo,Mazowieckie,2015,333 000 km,Diesel,2 000 cm3
Mercedes-Benz,SPRINTER 513 CDI,98 000 PLN,Zambrów,Podlaskie,2015,159 000 km,Diesel,2 143 cm3
Fiat,Ducato L4H3 ***2.3 180 KM *** Bogato Wyposażone ***Śliczny,73 999 PLN,Sochaczew,Mazowieckie,2019,187 000 km,Diesel,2 300 cm3
Volkswagen,Crafter,132 899 PLN,Sokołów,Mazowieckie,2019,124 000 km,Diesel,2 000 cm3
Renault,Trafic III,59 040 PLN,Gorzów Wielkopolski,Lubuskie,2018,146 130 km,Diesel,1 598 cm3
Volkswagen,TRANSPORTER,126 075 PLN,Końskie,Świętokrzyskie,2019,150 500 km,Diesel,1 968 cm3
Fiat,Ducato,75 000 PLN,Bojszowy,Śląskie,2015,64 000 km,Diesel,2 287 cm3
Iveco,daily,75 030 PLN,Koło,Wielkopolskie,2016,740 000 km,Diesel,2 998 cm3
Ford,Transit Custom,213 881 PLN,Warszawa,Mazowieckie,2023,1 km,Diesel,1 996 cm3
Peugeot,Partner,26 900 PLN,Gliwice,Śląskie,2013,221 100 km,Diesel,1 560 cm3
